m_val,a_val,dC_dr
46.8809,16.831,0.0110785
50,16.831,0.0117008
-2,19.0007,0
-1.99956,19.0007,0
-1.99646,19.0007,0
-1.98807,19.0007,0
-1.97171,19.0007,-0.0110768
-1.94475,19.0007,-0.0104218
-1.90453,19.0007,-0.00705827
-1.8484,19.0007,-0.00612341
-1.7737,19.0007,-0.00471434
-1.67779,19.0007,-0.00384745
-1.55801,19.0007,-0.00308077
-1.41171,19.0007,-0.00245732
-1.23624,19.0007,-0.00170272
-1.02894,19.0007,-0.0013036
-0.787172,19.0007,-0.000949882
-0.508275,19.0007,-0.000630029
-0.189598,19.0007,-0.000335464
